id,product_id,brand,price,color,purchased,days_on_market
164975,612,samsung,140.23,gold,0,30
159913,387,huawei,153.85,silver,1,6
68762,420,samsung,252.13,silver,0,30
9684,617,apple,1418.05,silver,1,17
73204,11,apple,521.25,gold,0,30
103166,594,samsung,1152.38,gold,0,30
54172,557,xiaomi,99.75,gold,0,30
83704,503,huawei,107.59,black,0,30
120029,474,samsung,131.79,gold,0,30
30241,553,huawei,252.23,black,0,30
52546,621,apple,1015.46,white,1,20
100201,476,samsung,131.62,white,1,16
137868,461,oppo,141.28,silver,1,26
147892,503,huawei,109.82,silver,1,8
11278,456,samsung,170.14,gold,0,30
92090,646,apple,1704.7,gold,0,30
4000,476,samsung,131.53,black,1,25
109899,456,samsung,172.19,black,0,30
140842,421,samsung,253.13,silver,1,1
74439,501,huawei,111.7,silver,1,16
133608,474,samsung,131.53,silver,0,30
136680,474,samsung,131.53,blue,0,30
178318,442,xiaomi,123.3,white,0,30
77439,474,samsung,131.53,white,1,16
81605,611,samsung,142.58,blue,0,30
178954,476,samsung,131.63,blue,0,30
1434,408,xiaomi,190.97,white,1,6
101057,474,samsung,131.51,white,1,23
181967,377,samsung,855.49,white,1,14
187461,411,samsung,196.4,gold,0,30
156564,27,apple,358.57,gold,0,30
38559,484,samsung,273.56,silver,1,30
118220,617,apple,1397.09,blue,0,30
26500,482,samsung,285.4,gold,1,13
82631,393,huawei,126.58,black,1,19
152874,612,samsung,154.04,black,1,2
204335,393,huawei,126.9,black,1,14
202178,617,apple,1415.48,blue,0,30
166919,485,samsung,388.42,white,1,1
187807,428,huawei,277.42,blue,0,30
192914,351,huawei,166.17,gold,0,30
182812,420,samsung,250.91,gold,0,30
175743,626,apple,1003.85,silver,1,11
89353,428,huawei,280.26,gold,1,15
212883,420,samsung,250.19,blue,0,30
16367,56,apple,591.98,silver,1,15
24246,420,samsung,250.91,silver,1,10
56304,246,apple,1181.46,blue,0,30
113608,370,samsung,790.69,white,0,30
190329,424,xiaomi,135.01,blue,0,30
178200,230,samsung,88.55,white,1,24
44991,626,apple,992.05,white,1,22
172700,27,apple,358.57,gold,0,30
37377,457,samsung,173.67,white,1,11
85203,474,samsung,131.64,silver,1,13
109403,635,apple,1607.28,silver,1,24
4567,372,samsung,720.67,gold,0,30
34856,456,samsung,170.92,black,1,8
117421,185,xiaomi,166.51,white,1,22
61118,412,samsung,196.8,silver,1,14
20024,557,xiaomi,95.18,black,0,30
142427,485,samsung,365.83,white,1,27
68049,461,oppo,179.26,white,1,7
18609,420,samsung,250.82,white,1,13
119823,482,samsung,287.73,blue,1,14
50137,553,huawei,256.85,gold,0,30
119237,474,samsung,130.47,white,1,9
20522,585,xiaomi,197.94,silver,0,30
11729,484,samsung,278.4,black,0,30
30792,412,samsung,197.43,white,1,3
76687,20,apple,459.64,white,1,19
28982,459,samsung,240.93,blue,0,30
104118,66482,samsung,771.94,blue,0,30
216934,646,apple,1725.03,white,1,23
51705,11,apple,533.19,silver,1,21
